generazione,dna,tempo,accuracy,fitness,normalized_fitness
1,"[4, 45, 4, 188]",75.42799687385559,0.33175355195999146,0.33175355195999146,0.39830508203607157
1,"[1, 173, 2, 242]",83.70854043960571,0.6398104429244995,0.6398104429244995,0.9491525676633322
1,"[1, 171, 5, 44]",84.27550554275513,0.10900473594665527,0.10900473594665527,0.0
1,"[2, 182, 4, 177]",188.19216990470886,0.3649289011955261,0.3649289011955261,0.4576271041923816
1,"[4, 36, 2, 190]",83.78616070747375,0.5639810562133789,0.5639810562133789,0.8135593437114276
1,"[3, 117, 1, 68]",136.4822919368744,0.6540284156799316,0.6540284156799316,0.9745762305410732
1,"[1, 82, 1, 49]",33.48352789878845,0.5876777172088623,0.5876777172088623,0.8559321862284531
1,"[3, 171, 4, 200]",271.4957103729248,0.43127962946891785,0.43127962946891785,0.5762712017955945
1,"[2, 96, 4, 171]",74.50180649757385,0.41706159710884094,0.41706159710884094,0.5508474323366678
1,"[2, 222, 3, 105]",261.65614557266235,0.4597156345844269,0.4597156345844269,0.6271186341322623
1,"[2, 81, 1, 119]",60.49498128890991,0.6303317546844482,0.6303317546844482,0.9322033880240477
1,"[2, 95, 3, 57]",74.31690764427185,0.27962085604667664,0.27962085604667664,0.30508475389178535
1,"[4, 221, 2, 165]",546.065351486206,0.5450236797332764,0.5450236797332764,0.7796609844328586
1,"[2, 130, 1, 189]",100.4424204826355,0.5924170613288879,0.5924170613288879,0.8644067760480953
1,"[1, 117, 1, 133]",46.473490715026855,0.6682464480400085,0.6682464480400085,1.0
1,"[3, 46, 3, 167]",72.32774043083191,0.4644549787044525,0.4644549787044525,0.6355932239519047
2,"[3, 171, 1, 49]",260.08914518356323,0.6398104429244995,0.6398104429244995,0.9010988889490845
2,"[4, 45, 4, 68]",93.34518218040466,0.2890995144844055,0.2890995144844055,0.08791208335590668
2,"[4, 36, 3, 57]",87.00179600715637,0.2511848211288452,0.2511848211288452,0.0
2,"[3, 171, 4, 189]",262.68397331237793,0.450236976146698,0.450236976146698,0.4615384721695511
2,"[1, 36, 2, 190]",24.831916570663452,0.5734597444534302,0.5734597444534302,0.7472527776272888
2,"[1, 173, 3, 105]",85.0847327709198,0.4360189437866211,0.4360189437866211,0.4285713890845246
2,"[3, 117, 1, 105]",117.96756267547607,0.5639810562133789,0.5639810562133789,0.7252747222372711
2,"[2, 81, 1, 119]",62.74699258804321,0.6824644804000854,0.6824644804000854,1.0
2,"[2, 222, 3, 57]",269.95233511924744,0.3033175468444824,0.3033175468444824,0.1208791664409332
2,"[4, 130, 1, 189]",177.12100911140442,0.49289098381996155,0.49289098381996155,0.5604395141183846
2,"[1, 173, 1, 189]",85.58437776565552,0.6398104429244995,0.6398104429244995,0.9010988889490845
2,"[3, 222, 3, 105]",341.53489089012146,0.27014216780662537,0.27014216780662537,0.04395604167795334
2,"[1, 173, 4, 105]",87.4942901134491,0.4123222827911377,0.4123222827911377,0.3736263888136444
2,"[2, 173, 2, 242]",177.82753896713257,0.6113743782043457,0.6113743782043457,0.8351647227790314
2,"[2, 82, 1, 49]",66.05080842971802,0.5450236797332764,0.5450236797332764,0.6813186114572357
2,"[4, 117, 1, 177]",128.21250438690186,0.5118483304977417,0.5118483304977417,0.604395555796338
3,"[3, 81, 1, 119]",93.98958849906921,0.6255924105644226,0.6255924105644226,0.8888888430147217
3,"[2, 82, 1, 189]",63.88318657875061,0.6635071039199829,0.6635071039199829,0.969696922539609
3,"[3, 171, 4, 119]",264.89950609207153,0.2369668185710907,0.2369668185710907,0.06060605964366549
3,"[3, 45, 4, 68]",73.88718700408936,0.20853079855442047,0.20853079855442047,0.0
3,"[2, 82, 1, 190]",60.38726544380188,0.5734597444534302,0.5734597444534302,0.7777778130655987
3,"[3, 117, 1, 105]",135.63295817375183,0.6113743782043457,0.6113743782043457,0.8585857655543306
3,"[2, 81, 1, 189]",60.909982681274414,0.5734597444534302,0.5734597444534302,0.7777778130655987
3,"[1, 130, 1, 189]",50.78172302246094,0.6398104429244995,0.6398104429244995,0.9191919204751127
3,"[1, 173, 3, 189]",88.28699517250061,0.5165876746177673,0.5165876746177673,0.6565656302601901
3,"[4, 130, 1, 49]",225.83999705314636,0.6777251362800598,0.6777251362800598,1.0
3,"[4, 173, 2, 242]",360.64559507369995,0.5165876746177673,0.5165876746177673,0.6565656302601901
3,"[1, 36, 2, 190]",25.328157901763916,0.5639810562133789,0.5639810562133789,0.757575761425338
3,"[2, 117, 1, 105]",97.37376236915588,0.6398104429244995,0.6398104429244995,0.9191919204751127
3,"[2, 130, 1, 189]",93.55907535552979,0.6350710988044739,0.6350710988044739,0.9090908946549824
3,"[3, 173, 3, 105]",276.6113224029541,0.3601895868778229,0.3601895868778229,0.3232323498585881
3,"[2, 82, 1, 177]",60.307068824768066,0.6682464480400085,0.6682464480400085,0.9797979483597393
4,"[2, 82, 1, 190]",65.97965836524963,0.6303317546844482,0.6303317546844482,0.6842106656684833
4,"[1, 130, 1, 189]",42.35511493682861,0.6682464480400085,0.6682464480400085,0.8947369988770437
4,"[3, 81, 1, 177]",96.22145986557007,0.6682464480400085,0.6682464480400085,0.8947369988770437
4,"[2, 81, 1, 49]",64.60632085800171,0.549763023853302,0.549763023853302,0.23684216622996146
4,"[1, 82, 1, 190]",35.23251247406006,0.6872037649154663,0.6872037649154663,1.0
4,"[2, 82, 1, 177]",65.07917475700378,0.5971564054489136,0.5971564054489136,0.500000165481324
4,"[3, 81, 1, 105]",92.62492632865906,0.5687204003334045,0.5687204003334045,0.3421054983155656
4,"[1, 82, 1, 189]",35.23709321022034,0.6635071039199829,0.6635071039199829,0.8684211658556427
4,"[3, 82, 1, 190]",87.49169111251831,0.5734597444534302,0.5734597444534302,0.36842133133696664
4,"[2, 117, 1, 105]",98.22039198875427,0.6445497870445251,0.6445497870445251,0.7631581647326864
4,"[2, 82, 1, 49]",65.337965965271,0.620853066444397,0.620853066444397,0.6315789996256812
4,"[4, 130, 1, 189]",228.68507623672485,0.6161137223243713,0.6161137223243713,0.6052631666042803
4,"[1, 173, 2, 242]",87.59566736221313,0.6113743782043457,0.6113743782043457,0.5789473335828792
4,"[3, 81, 1, 49]",96.35239863395691,0.5071089863777161,0.5071089863777161,0.0
4,"[3, 130, 1, 189]",152.9653491973877,0.578199028968811,0.578199028968811,0.3947368333957198
4,"[3, 117, 1, 189]",145.18035411834717,0.5734597444534302,0.5734597444534302,0.36842133133696664
5,"[3, 81, 1, 177]",60.882758378982544,0.5355450510978699,0.5355450510978699,0.1282053349207772
5,"[1, 130, 1, 189]",55.17578196525574,0.6303317546844482,0.6303317546844482,0.6410257071746487
5,"[4, 174, 1, 190]",362.5505619049072,0.620853066444397,0.620853066444397,0.5897435732063379
5,"[1, 82, 3, 189]",37.570043325424194,0.5118483304977417,0.5118483304977417,0.0
5,"[1, 173, 2, 190]",88.12831115722656,0.6872037649154663,0.6872037649154663,0.9487178660316891
5,"[1, 130, 1, 189]",48.82136535644531,0.5876777172088623,0.5876777172088623,0.4102564267936622
5,"[1, 82, 1, 189]",35.65496563911438,0.6966824531555176,0.6966824531555176,1.0
5,"[2, 81, 1, 189]",64.83535695075989,0.6587677597999573,0.6587677597999573,0.7948717866031689
5,"[3, 81, 1, 189]",67.94940876960754,0.5450236797332764,0.5450236797332764,0.17948714641267566
5,"[4, 130, 1, 189]",235.5786542892456,0.6066350936889648,0.6066350936889648,0.5128206947302839
5,"[3, 82, 1, 189]",97.35555768013,0.5829383730888367,0.5829383730888367,0.38461535980950673
5,"[4, 130, 1, 189]",220.60347962379456,0.6018957495689392,0.6018957495689392,0.4871796277461285
5,"[4, 81, 1, 49]",125.09853839874268,0.521327018737793,0.521327018737793,0.05128213396831089
5,"[2, 82, 1, 190]",64.50073456764221,0.5829383730888367,0.5829383730888367,0.38461535980950673
5,"[1, 81, 1, 105]",35.71158218383789,0.5971564054489136,0.5971564054489136,0.4615385607619731
5,"[3, 130, 1, 189]",172.35917377471924,0.6587677597999573,0.6587677597999573,0.7948717866031689
6,"[1, 81, 1, 189]",35.97640538215637,0.6161137223243713,0.6161137223243713,0.27272716878858366
6,"[2, 82, 1, 190]",67.59808158874512,0.6255924105644226,0.6255924105644226,0.36363641560570814
6,"[2, 82, 1, 190]",66.49420642852783,0.6682464480400085,0.6682464480400085,0.7727274546199786
6,"[3, 130, 1, 105]",153.61447834968567,0.620853066444397,0.620853066444397,0.31818179219714593
6,"[1, 130, 2, 190]",58.515687465667725,0.6398104429244995,0.6398104429244995,0.5000002858313949
6,"[2, 82, 1, 189]",66.82720422744751,0.5876777172088623,0.5876777172088623,0.0
6,"[2, 82, 1, 189]",67.18770980834961,0.6729857921600342,0.6729857921600342,0.8181820780285408
6,"[1, 81, 1, 200]",35.93974709510803,0.6919431090354919,0.6919431090354919,1.0
6,"[4, 174, 1, 189]",330.8610634803772,0.6303317546844482,0.6303317546844482,0.4090910390142704
6,"[1, 81, 1, 189]",36.05498027801514,0.5876777172088623,0.5876777172088623,0.0
6,"[1, 81, 1, 144]",32.635672092437744,0.6066350936889648,0.6066350936889648,0.181818493634249
6,"[3, 82, 1, 189]",102.07634472846985,0.6255924105644226,0.6255924105644226,0.36363641560570814
6,"[1, 82, 1, 189]",36.99030160903931,0.6066350936889648,0.6066350936889648,0.181818493634249
6,"[3, 81, 1, 189]",98.10198330879211,0.6777251362800598,0.6777251362800598,0.8636367014371031
6,"[3, 130, 1, 190]",142.5187656879425,0.5876777172088623,0.5876777172088623,0.0
6,"[1, 81, 1, 177]",36.394755125045776,0.6161137223243713,0.6161137223243713,0.27272716878858366
7,"[2, 82, 1, 190]",50.2651150226593,0.5308057069778442,0.5308057069778442,0.048780562620934546
7,"[1, 81, 1, 189]",36.18788814544678,0.5450236797332764,0.5450236797332764,0.12195109980650473
7,"[3, 81, 1, 200]",96.74507570266724,0.521327018737793,0.521327018737793,0.0
7,"[1, 81, 1, 200]",36.16291809082031,0.6872037649154663,0.6872037649154663,0.8536583121371963
7,"[1, 130, 1, 105]",57.44421720504761,0.5545023679733276,0.5545023679733276,0.17073166242743928
7,"[3, 81, 1, 190]",92.2780876159668,0.6350710988044739,0.6350710988044739,0.5853658312137197
7,"[1, 81, 3, 189]",37.65833306312561,0.5734597444534302,0.5734597444534302,0.26829278766930836
7,"[1, 81, 1, 189]",35.83433389663696,0.7156398296356201,0.7156398296356201,1.0
7,"[1, 81, 1, 177]",35.71082019805908,0.649289071559906,0.649289071559906,0.6585363683992899
7,"[2, 81, 1, 189]",61.81353163719177,0.5402843356132507,0.5402843356132507,0.09756081849603745
7,"[3, 130, 1, 190]",143.93629908561707,0.578199028968811,0.578199028968811,0.292682762233944
7,"[1, 81, 1, 189]",35.92171669006348,0.6777251362800598,0.6777251362800598,0.8048780562620934
7,"[3, 81, 1, 189]",96.07659864425659,0.6066350936889648,0.6066350936889648,0.4390244500967476
7,"[2, 82, 1, 189]",64.46340036392212,0.620853066444397,0.620853066444397,0.5121949872823178
7,"[1, 81, 1, 189]",35.839611530303955,0.6966824531555176,0.6966824531555176,0.9024388747581309
7,"[3, 81, 1, 190]",96.0079493522644,0.6872037649154663,0.6872037649154663,0.8536583121371963
8,"[1, 81, 1, 189]",35.42859387397766,0.6255924105644226,0.6255924105644226,0.6399999597549478
8,"[1, 81, 1, 190]",36.3196325302124,0.6445497870445251,0.6445497870445251,0.8000002012252606
8,"[2, 81, 1, 177]",68.63406491279602,0.6113743782043457,0.6113743782043457,0.5199997786522134
8,"[1, 81, 1, 189]",36.15427780151367,0.6682464480400085,0.6682464480400085,1.0
8,"[1, 81, 1, 177]",41.75315880775452,0.6303317546844482,0.6303317546844482,0.680000020122526
8,"[1, 81, 1, 189]",36.96053957939148,0.6445497870445251,0.6445497870445251,0.8000002012252606
8,"[1, 81, 1, 189]",37.04297709465027,0.6350710988044739,0.6350710988044739,0.7200000804901042
8,"[1, 81, 1, 177]",36.91893815994263,0.6161137223243713,0.6161137223243713,0.5599998390197916
8,"[1, 81, 1, 190]",34.24281978607178,0.6587677597999573,0.6587677597999573,0.9199998792648436
8,"[3, 81, 1, 190]",83.46393275260925,0.549763023853302,0.549763023853302,0.0
8,"[1, 81, 1, 189]",36.044044733047485,0.6587677597999573,0.6587677597999573,0.9199998792648436
8,"[3, 81, 1, 177]",95.72141218185425,0.620853066444397,0.620853066444397,0.5999998993873696
8,"[1, 81, 1, 189]",31.660463094711304,0.6350710988044739,0.6350710988044739,0.7200000804901042
8,"[1, 81, 1, 190]",36.26873207092285,0.6682464480400085,0.6682464480400085,1.0
8,"[1, 81, 1, 189]",36.262287616729736,0.6350710988044739,0.6350710988044739,0.7200000804901042
8,"[1, 81, 1, 200]",35.082841873168945,0.6255924105644226,0.6255924105644226,0.6399999597549478
9,"[1, 81, 4, 189]",38.872403383255005,0.48341232538223267,0.48341232538223267,0.1929824445276264
9,"[1, 81, 1, 190]",36.22079300880432,0.6824644804000854,0.6824644804000854,0.9298246659180291
9,"[1, 81, 1, 177]",36.19405913352966,0.6682464480400085,0.6682464480400085,0.877192999875227
9,"[2, 81, 1, 177]",68.750572681427,0.6161137223243713,0.6161137223243713,0.684210445026718
9,"[1, 81, 4, 190]",38.63836431503296,0.43127962946891785,0.43127962946891785,0.0
9,"[1, 81, 1, 190]",36.13507127761841,0.6587677597999573,0.6587677597999573,0.8421052225133591
9,"[1, 81, 1, 190]",36.013885498046875,0.6066350936889648,0.6066350936889648,0.6491228883066152
9,"[3, 81, 1, 177]",96.5416579246521,0.6255924105644226,0.6255924105644226,0.7192982223885861
9,"[1, 81, 1, 177]",36.093865156173706,0.649289071559906,0.649289071559906,0.807017445151491
9,"[1, 81, 1, 190]",35.683192014694214,0.6872037649154663,0.6872037649154663,0.9473683339571979
9,"[1, 81, 1, 190]",33.75977110862732,0.6303317546844482,0.6303317546844482,0.7368421110695201
9,"[3, 81, 1, 189]",96.42468333244324,0.6398104429244995,0.6398104429244995,0.7719298884313882
9,"[1, 81, 1, 189]",36.25671720504761,0.6350710988044739,0.6350710988044739,0.7543859997504542
9,"[1, 81, 1, 189]",35.86915993690491,0.649289071559906,0.649289071559906,0.807017445151491
9,"[1, 81, 1, 190]",35.96870994567871,0.7014217972755432,0.7014217972755432,1.0
9,"[1, 81, 1, 177]",35.96669316291809,0.6398104429244995,0.6398104429244995,0.7719298884313882
10,"[1, 81, 1, 189]",36.13822078704834,0.6966824531555176,0.6966824531555176,1.0
10,"[1, 81, 1, 190]",34.133894205093384,0.6635071039199829,0.6635071039199829,0.8
10,"[2, 81, 1, 189]",60.99078035354614,0.6777251362800598,0.6777251362800598,0.8857144397132539
10,"[1, 81, 1, 190]",36.13847327232361,0.6350710988044739,0.6350710988044739,0.628571479904418
10,"[1, 81, 1, 177]",31.36919927597046,0.6587677597999573,0.6587677597999573,0.771428520095582
10,"[3, 81, 1, 189]",65.24986934661865,0.5308057069778442,0.5308057069778442,0.0
10,"[1, 81, 1, 177]",35.97382307052612,0.6066350936889648,0.6066350936889648,0.45714295980883596
10,"[2, 81, 1, 189]",64.30358004570007,0.620853066444397,0.620853066444397,0.5428570401911641
10,"[1, 81, 1, 177]",37.27327561378479,0.6540284156799316,0.6540284156799316,0.742857040191164
10,"[1, 81, 1, 190]",37.206161975860596,0.6255924105644226,0.6255924105644226,0.571428520095582
10,"[1, 81, 1, 177]",36.99077773094177,0.6729857921600342,0.6729857921600342,0.8571429598088359
10,"[1, 81, 1, 177]",37.002721548080444,0.6255924105644226,0.6255924105644226,0.571428520095582
10,"[3, 81, 1, 190]",77.4646327495575,0.6066350936889648,0.6066350936889648,0.45714295980883596
10,"[1, 81, 1, 177]",36.9598126411438,0.6587677597999573,0.6587677597999573,0.771428520095582
10,"[1, 81, 1, 177]",36.65547776222229,0.6540284156799316,0.6540284156799316,0.742857040191164
10,"[1, 81, 1, 177]",36.49355149269104,0.6255924105644226,0.6255924105644226,0.571428520095582
11,"[1, 81, 1, 177]",36.4445276260376,0.6635071039199829,0.6635071039199829,0.7647059041117273
11,"[1, 81, 1, 189]",36.38305950164795,0.5971564054489136,0.5971564054489136,0.35294132878209156
11,"[1, 81, 1, 177]",32.12457060813904,0.6919431090354919,0.6919431090354919,0.9411763835530905
11,"[1, 81, 1, 177]",31.96951675415039,0.6587677597999573,0.6587677597999573,0.7352940958882727
11,"[1, 133, 1, 190]",57.90120077133179,0.6587677597999573,0.6587677597999573,0.7352940958882727
11,"[1, 81, 1, 190]",36.21154475212097,0.6587677597999573,0.6587677597999573,0.7352940958882727
11,"[1, 81, 1, 177]",36.22085189819336,0.6350710988044739,0.6350710988044739,0.5882354246703642
11,"[1, 81, 1, 177]",36.21255612373352,0.6113743782043457,0.6113743782043457,0.4411763835530905
11,"[1, 81, 1, 177]",36.605008363723755,0.6777251362800598,0.6777251362800598,0.8529413287820915
11,"[2, 81, 1, 190]",63.84788465499878,0.5734597444534302,0.5734597444534302,0.20588265756418309
11,"[2, 81, 1, 177]",67.71766424179077,0.6303317546844482,0.6303317546844482,0.5588236164469095
11,"[3, 81, 1, 189]",70.80318188667297,0.5592417120933533,0.5592417120933533,0.11764723289381891
11,"[1, 81, 1, 189]",36.13620400428772,0.6872037649154663,0.6872037649154663,0.9117645753296358
11,"[1, 81, 1, 177]",36.06320118904114,0.6587677597999573,0.6587677597999573,0.7352940958882727
11,"[1, 81, 1, 177]",33.274860858917236,0.5402843356132507,0.5402843356132507,0.0
11,"[1, 81, 1, 190]",36.13933873176575,0.7014217972755432,0.7014217972755432,1.0
12,"[1, 81, 1, 190]",36.005165576934814,0.6872037649154663,0.6872037649154663,1.0
12,"[1, 81, 1, 177]",36.01706337928772,0.6113743782043457,0.6113743782043457,0.8072288974066182
12,"[1, 81, 1, 177]",36.095489501953125,0.6729857921600342,0.6729857921600342,0.9638555129669093
12,"[1, 81, 1, 190]",36.10282230377197,0.6777251362800598,0.6777251362800598,0.9759037258196294
12,"[1, 81, 1, 177]",35.803428411483765,0.6824644804000854,0.6824644804000854,0.9879519386723494
12,"[1, 133, 5, 190]",61.62915897369385,0.29383885860443115,0.29383885860443115,0.0
12,"[1, 81, 1, 177]",36.01673102378845,0.6587677597999573,0.6587677597999573,0.9277108744087492
12,"[1, 81, 1, 177]",35.95736503601074,0.6824644804000854,0.6824644804000854,0.9879519386723494
12,"[1, 81, 1, 190]",31.83776307106018,0.6255924105644226,0.6255924105644226,0.8433735359647783
12,"[1, 225, 1, 177]",125.70614695549011,0.5971564054489136,0.5971564054489136,0.7710844103735275
12,"[1, 133, 1, 224]",58.36918830871582,0.6350710988044739,0.6350710988044739,0.8674699616702184
12,"[1, 81, 1, 190]",36.17907953262329,0.6018957495689392,0.6018957495689392,0.7831326232262475
12,"[1, 81, 1, 177]",35.28376889228821,0.6587677597999573,0.6587677597999573,0.9277108744087492
12,"[1, 81, 1, 177]",32.79214835166931,0.6113743782043457,0.6113743782043457,0.8072288974066182
12,"[1, 81, 1, 177]",36.05234932899475,0.6445497870445251,0.6445497870445251,0.8915663873756585
12,"[1, 133, 1, 190]",55.73303031921387,0.649289071559906,0.649289071559906,0.9036144487033091
13,"[1, 81, 1, 177]",35.88069462776184,0.6066350936889648,0.6066350936889648,0.33333346036948464
13,"[1, 81, 1, 177]",35.974814653396606,0.6350710988044739,0.6350710988044739,0.5151515382489972
13,"[1, 81, 1, 190]",36.0289089679718,0.649289071559906,0.649289071559906,0.6060603866345265
13,"[1, 81, 1, 177]",35.81455326080322,0.6919431090354919,0.6919431090354919,0.8787876940080224
13,"[1, 133, 1, 190]",53.494168281555176,0.6255924105644226,0.6255924105644226,0.45454538525300836
13,"[1, 133, 1, 190]",55.952125787734985,0.6540284156799316,0.6540284156799316,0.6363634631325209
13,"[1, 81, 1, 190]",44.015323877334595,0.7109004855155945,0.7109004855155945,1.0
13,"[1, 81, 1, 224]",35.41101670265198,0.5639810562133789,0.5639810562133789,0.060606152995988836
13,"[1, 81, 1, 177]",31.19285011291504,0.6303317546844482,0.6303317546844482,0.48484846175100277
13,"[1, 133, 1, 224]",60.09735083580017,0.6729857921600342,0.6729857921600342,0.7575757691244986
13,"[1, 81, 1, 177]",37.26468300819397,0.6777251362800598,0.6777251362800598,0.787878845622493
13,"[1, 225, 1, 177]",107.90595555305481,0.6303317546844482,0.6303317546844482,0.48484846175100277
13,"[1, 81, 1, 190]",36.68502974510193,0.6350710988044739,0.6350710988044739,0.5151515382489972
13,"[4, 133, 1, 177]",222.48014855384827,0.6398104429244995,0.6398104429244995,0.5454546147469916
13,"[1, 81, 1, 177]",37.037036418914795,0.6398104429244995,0.6398104429244995,0.5454546147469916
13,"[1, 81, 1, 177]",30.834392786026,0.5545023679733276,0.5545023679733276,0.0
14,"[1, 81, 1, 177]",36.970375537872314,0.6587677597999573,0.6587677597999573,0.799999698162109
14,"[1, 81, 1, 226]",36.87113285064697,0.6777251362800598,0.6777251362800598,0.9599999396324218
14,"[1, 81, 1, 177]",36.868475914001465,0.6113743782043457,0.6113743782043457,0.3999995975494788
14,"[1, 81, 1, 190]",36.55315089225769,0.6255924105644226,0.6255924105644226,0.5199997786522134
14,"[1, 133, 1, 190]",58.82690191268921,0.6635071039199829,0.6635071039199829,0.8399997585296872
